protocol,key_length,distance_to_alice,percentage,mean_qber,mean_qber_after_correction,mean_simulated_time,mean_repetitions
BB84,32,20,0,0.0,,205826294.0,1.6
BB84,32,20,50,0.2475,,187919773.0,1.46
BB84,32,20,70,0.3315625,,181523095.0,1.41
BB84,32,20,99,0.490625,,176429424.0,1.37
BB84,64,20,0,0.0,,374903048.0,1.46
BB84,64,20,50,0.243125,,382817294.0,1.49
BB84,64,20,70,0.3465625,,377761668.0,1.47
BB84,64,20,99,0.494375,,388164181.0,1.51
BB84,128,20,0,0.0,,795251812.0,1.55
BB84,128,20,50,0.252578125,,764889220.0,1.49
BB84,128,20,70,0.346875,,759923041.0,1.48
BB84,128,20,99,0.501484375,,755028480.0,1.47
BB84,256,20,0,0.0,,1446140230.0,1.41
BB84,256,20,50,0.2529296875,,1570081120.0,1.53
BB84,256,20,70,0.355234375,,1529369630.0,1.49
BB84,256,20,99,0.4940625,,1529858870.0,1.49
BB84,512,20,0,0.0,,3117159880.0,1.52
BB84,512,20,50,0.25228515625,,3118879710.0,1.52
BB84,512,20,70,0.35037109375,,3119566340.0,1.52
BB84,512,20,99,0.4918359375,,2874204660.0,1.4
